상품코드,거래처,엑셀원본폴더,원본상품번호,상품명,이미지수,상태,매칭폴더/메모
N260021,실루엣,라비앙OPS,라비앙OPS,아이보리/베이지 라비앙원피스,4,매칭완료,실루엣/라비앙OPS
N260022,실루엣,리본끈 탑원피스(그레이),리본끈_탑원피스(그레이),"그레이 튜브탑 넥라인이 입체감 있는 리본디테일, 몸매를 더 슬림해 보이는 스프라이트 패턴",4,매칭완료,실루엣/리본끈 탑원피스(그레이)
N260023,실루엣,리본끈 탑원피스(화이트),리본끈_탑원피스(화이트),"화이트 튜브탑 넥라인이 입체감 있는 리본디테일, 몸매를 더 슬림해 보이는 스프라이트 패턴",4,매칭완료,실루엣/리본끈 탑원피스(화이트)
N260024,실루엣,쏘잉BL,쏘잉BL,스트라이프 리본 오프숄더 탑블라이스,4,매칭완료,실루엣/쏘잉BL
N260025,실루엣,쏘잉BL그레이,쏘잉BL그레이,그레이 스트라이프 리본 오프숄더 탑블라이스,4,매칭완료,실루엣/쏘잉BL그레이
N260026,실루엣,쏘잉BL핑크,쏘잉BL핑크,쏘잉BL핑크,4,매칭완료,실루엣/쏘잉BL핑크
N260027,실루엣,에비뉴OPS,에비뉴OPS,허리라인을 돋보이게해주는 미디원피스,4,매칭완료,실루엣/에비뉴OPS
N260028,실루엣,에비뉴OPS그레이,에비뉴OPS그레이,그레이 허리라인을 돋보이게해주는 미디원피스,4,매칭완료,실루엣/에비뉴OPS그레이
N260029,실루엣,에비뉴OPS화이트,에비뉴OPS화이트,화이트 허리라인을 돋보이게해주는 미디원피스,4,매칭완료,실루엣/에비뉴OPS화이트
N260030,실루엣,카시아2OPS,카시아2OPS,"화이트/핑크 시선을 사로잡는 드레이핑 튜브탑 원피스, 가슴 라인의 드레이핑이 포인트",4,매칭완료,실루엣/카시아2OPS
N260031,실루엣,컨페티OPS아이,컨페티OPS아이,"화이트 라인 디테일 스림 미디 원피스, 언발란스 밑단과 딥 슬림 디테일이 포인트",4,매칭완료,실루엣/컨페티OPS아이
N260032,실루엣,컨페티OPS핑크,컨페티OPS핑크,"핑크 라인 디테일 스림 미디 원피스, 언발란스 밑단과 딥 슬림 디테일이 포인트",4,매칭완료,실루엣/컨페티OPS핑크
N260033,실루엣,쿠키BL샤넬주름SK아이핑크블랙,쿠키BL샤넬주름SK아이핑크블랙,화이트/핑크 넥리본 포인트 핏이 좋은 블라우스,4,매칭완료,실루엣/쿠키BL샤넬주름SK아이핑크블랙
N260034,실루엣,쿠키BL샤넬주름SK아이핑크블랙 추가이미지,쿠키BL샤넬주름SK아이핑크블랙_추가이미지,블랙/화이트 동안핏 감성 촘촘한 주름스커트,4,매칭완료,실루엣/쿠키BL샤넬주름SK아이핑크블랙 추가이미지
N260035,실루엣,쿠키BL샤넬주름SK추가2,쿠키BL샤넬주름SK추가2,화이트/핑크/블랙 넥리본 포인트 핏이 좋은 블라우스 동안핏 감성 촘촘한 주름스커트,4,매칭완료,실루엣/쿠키BL샤넬주름SK추가2
N260036,실루엣,프라다탑OPS,프라다탑OPS,다양한 연출이 가능한 리본 타이와 슬림한 오프숄더 미디 원피스,4,매칭완료,실루엣/프라다탑OPS
N260037,실루엣,프라다탑OPS 그레이,프라다탑OPS_그레이,그레이 다양한 연출이 가능한 리본 타이와 슬림한 오프숄더 미디 원피스,4,매칭완료,실루엣/프라다탑OPS 그레이
N260038,실루엣,프라다탑OPS 아이,프라다탑OPS_아이,그레이 다양한 연출이 가능한 리본 타이와 슬림한 오프숄더 미디 원피스,4,매칭완료,실루엣/프라다탑OPS 아이
N260039,실루엣,후크BL후크SK,후크BL후크SK,아이보리/블랙 어깨끈 탈부착 가능,4,매칭완료,실루엣/후크BL후크SK
N260040,실루엣,후크BL후크SK 블랙,후크BL후크SK_블랙,아이보리/블랙 어깨끈 탈부착 가능,4,매칭완료,실루엣/후크BL후크SK 블랙
N260041,실루엣,후크BL후크SK 아이,후크BL후크SK_아이,아이보리/블랙 어깨끈 탈부착 가능,4,매칭완료,실루엣/후크BL후크SK 아이
N260042,실루엣,후크BL후크SK 아이블랙 추가,후크BL후크SK_아이블랙_추가,아이보리/블랙 어깨끈 탈부착 가능,4,매칭완료,실루엣/후크BL후크SK 아이블랙 추가
N260043,써니,S470,S470,가슴부분 장식과 하얀 포인트를 주는 블랙 배색 미디 드레스,4,매칭완료,써니/S470
