code,vendorCode,supplier,name,category,color,size,imageCount,mainImage,unknownCutCount,sourceProductCutFirst,folder
TIA-S841,S841,티아라,투피스,TWO PIECE,화이트 / 블랙,S / M,9,assets/july10/tiara/TIA-S841_01.jpg,0,False,7월 10일 신제품  사진/티아라/S841번 투피스(화이트블랙_SM)
TIA-S842,S842,티아라,투피스,TWO PIECE,브라운,S / M,9,assets/july10/tiara/TIA-S842_01.jpg,0,True,7월 10일 신제품  사진/티아라/S842번 투피스(브라운_SM)
TIA-S843,S843,티아라,투피스,TWO PIECE,아이 / 블랙,S / M,9,assets/july10/tiara/TIA-S843_01.jpg,0,False,7월 10일 신제품  사진/티아라/S843번 투피스(블랙아이_SM)
TIA-S844,S844,티아라,7월 신상 원피스,MINI,아이,S / M,11,assets/july10/tiara/TIA-S844_01.jpg,1,False,7월 10일 신제품  사진/티아라/S844번(아이_SM)
TIA-S845,S845,티아라,7월 신상 원피스,MINI,문의,S / M,11,assets/july10/tiara/TIA-S845_01.jpg,0,False,7월 10일 신제품  사진/티아라/S845번(픵크_SM)
TIA-S846,S846,티아라,7월 신상 원피스,MINI,블랙,S / M,11,assets/july10/tiara/TIA-S846_01.jpg,0,False,7월 10일 신제품  사진/티아라/S846번(블랙_SM)
TIA-S847,S847,티아라,투피스,TWO PIECE,그레이,S / M,9,assets/july10/tiara/TIA-S847_01.jpg,1,False,7월 10일 신제품  사진/티아라/S847번 투피스(그레이_SM)
TIA-S848,S848,티아라,투피스,TWO PIECE,아이,S / M,9,assets/july10/tiara/TIA-S848_01.jpg,0,False,7월 10일 신제품  사진/티아라/S848번 투피스(아이_SM)
TIA-S849,S849,티아라,투피스,TWO PIECE,블랙,S / M,9,assets/july10/tiara/TIA-S849_01.jpg,0,False,7월 10일 신제품  사진/티아라/S849번 투피스(블랙_SM)
TIA-S850,S850,티아라,투피스,TWO PIECE,아이 / 소라,S / M,9,assets/july10/tiara/TIA-S850_01.jpg,0,False,7월 10일 신제품  사진/티아라/S850번 투피스(소라아이_SM)
TIA-S851,S851,티아라,투피스,TWO PIECE,블랙 / 핑크,S / M,9,assets/july10/tiara/TIA-S851_01.jpg,0,False,7월 10일 신제품  사진/티아라/S851번투피스(핑크블랙_SM)
TIA-S852,S852,티아라,투피스,TWO PIECE,베이지,S / M,8,assets/july10/tiara/TIA-S852_01.jpg,0,False,7월 10일 신제품  사진/티아라/S852번투피스(베이지_SM)
PEARL-S779,S779,펄,7월 신상 원피스,MINI,블루,S / M / L,8,assets/july10/pearl/PEARL-S779_01.jpg,0,True,7월 10일 신제품  사진/펄/S779번 (블루_SML)
PEARL-S780,S780,펄,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/pearl/PEARL-S780_01.jpg,0,True,7월 10일 신제품  사진/펄/S780번 (아이_SML)
PEARL-S781,S781,펄,7월 신상 원피스,MINI,블랙,S / M / L,8,assets/july10/pearl/PEARL-S781_01.jpg,8,False,7월 10일 신제품  사진/펄/S781번 (블랙_SML)
PEARL-S830,S830,펄,투피스,TWO PIECE,아이 / 블루,S / M / L,9,assets/july10/pearl/PEARL-S830_01.jpg,1,True,7월 10일 신제품  사진/펄/S830번 투피스(아이블루_SML)
PEARL-S831,S831,펄,투피스,TWO PIECE,블랙 / 엘로우,S / M / L,9,assets/july10/pearl/PEARL-S831_01.jpg,0,True,7월 10일 신제품  사진/펄/S831번 투피스(블랙엘로우_SML)
PEARL-S832,S832,펄,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/pearl/PEARL-S832_01.jpg,0,True,7월 10일 신제품  사진/펄/S832번(아이_SML)
PEARL-S833,S833,펄,7월 신상 원피스,MINI,핑크,S / M / L,8,assets/july10/pearl/PEARL-S833_01.jpg,0,True,7월 10일 신제품  사진/펄/S833번(핑크_SML)
HIYA-S786,S786,희야,투피스,TWO PIECE,소라,S / M / L,8,assets/july10/hiya/HIYA-S786_01.jpg,0,True,7월 10일 신제품  사진/희야/S786번 투피스(소라_SML)
HIYA-S787,S787,희야,투피스,TWO PIECE,블랙,S / M / L,8,assets/july10/hiya/HIYA-S787_01.jpg,0,True,7월 10일 신제품  사진/희야/S787번 투피스(블랙_SML)
